defense,aspl_ism,aspl_fdr,glaze_ism,glaze_fdr,metacloak_ism,metacloak_fdr,mist_ism,mist_fdr,average
adavoc,0.4138,0.9531,0.4356,0.9688,0.3235,0.8906,0.3939,0.9844,0.6704625
ape,0.4939,0.8906,0.5694,0.9844,0.4119,0.8438,0.4446,0.7812,0.6766958333333334
bf,0.5716,0.9688,0.6522,0.9844,0.5667,0.9375,0.5236,1.0000,0.7646106481481483
bf_gn,0.6818,1.0000,0.7161,0.9697,0.6088,0.9844,0.5491,0.9853,0.8066456275720165
gn,0.6453,0.9844,0.6855,1.0000,0.5272,0.9062,0.4581,1.0000,0.7792606252857796
gn_bf,0.5686,0.9844,0.6672,0.9697,0.5510,0.9062,0.5069,1.0000,0.77036229169842
diffpure,0.1680,0.9844,0.1420,0.9219,0.1586,0.9375,0.1538,1.0000,0.5818402546331578
pdmpure,0.5555,1.0000,0.5741,0.9844,0.5564,1.0000,0.5297,0.9844,0.7518155838481286
No,0.5999,0.9688,0.5694,0.9844,0.5047,0.7969,0.2226,0.6719,0.6744906204275698
