defense,aspl_ism,aspl_fdr,glaze_ism,glaze_fdr,metacloak_ism,metacloak_fdr,mist_ism,mist_fdr,average
adavoc,0.0941,0.2326,0.0960,0.1613,0.1387,0.2928,0.1163,0.2115,0.1679125
ape,0.0952,0.2439,0.0706,0.1511,0.0923,0.2913,0.1092,0.1513,0.1525347222222222
bf,0.1063,0.3012,0.0842,0.1318,0.1112,0.3114,0.1249,0.1327,0.16180385802469135
bf_gn,0.0611,0.1220,0.0778,0.1254,0.0726,0.1595,0.0817,0.1064,0.10758931755829904
gn,0.0635,0.0681,0.0614,0.0540,0.0820,0.1184,0.1050,0.1799,0.09332103528425545
gn_bf,0.0800,0.1342,0.0608,0.1857,0.0947,0.2140,0.1171,0.1664,0.12735789280936172
diffpure,0.1024,0.1458,0.0925,0.1091,0.0941,0.1168,0.0760,0.1694,0.11482865475659576
pdmpure,0.0987,0.1396,0.0956,0.1915,0.0862,0.1945,0.0792,0.1773,0.13082540608406623
No,0.1064,0.2576,0.0798,0.0872,0.0974,0.2729,0.1321,0.3350,0.16658060067600733
